Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
36,Yes,Travel_Rarely,Sales,9,Master,'Life Sciences',High,Male,Medium,AssociateProfessional,'Sales Representative',Low,Single,3407,No,23,Outstanding,Medium,Level1,10,High,5,3,0,3
34,No,Travel_Rarely,'Research & Development',7,Master,'Life Sciences',Low,Female,High,AssociateManager,'Research Director',Medium,Single,11994,No,11,Excellent,High,Level1,13,High,12,6,2,11
21,No,Travel_Rarely,'Research & Development',15,College,'Life Sciences',High,Male,High,AssociateProfessional,'Research Scientist',VeryHigh,Single,1232,No,14,Excellent,VeryHigh,Level1,0,High,0,0,0,0
34,Yes,Travel_Rarely,'Research & Development',6,BelowCollege,Medical,Medium,Male,High,AssociateProfessional,'Research Scientist',Low,Single,2960,No,11,Excellent,High,Level1,8,High,4,2,1,3
53,No,Travel_Rarely,'Research & Development',5,Bachelor,Other,High,Female,High,Executive,Manager,High,Divorced,19094,No,11,Excellent,VeryHigh,Level2,26,Medium,14,13,4,8
32,Yes,Travel_Frequently,'Research & Development',16,BelowCollege,'Life Sciences',Medium,Female,Low,AssociateProfessional,'Research Scientist',Low,Single,3919,Yes,22,Outstanding,Medium,Level1,10,High,10,2,6,7
42,No,Travel_Rarely,Sales,8,Master,Marketing,High,Male,High,Professional,'Sales Executive',Medium,Married,6825,No,11,Excellent,VeryHigh,Level2,10,High,9,7,4,2
44,No,Travel_Rarely,'Research & Development',7,Master,Medical,Low,Female,Medium,AssociateManager,'Healthcare Representative',VeryHigh,Married,10248,No,14,Excellent,VeryHigh,Level2,24,High,22,6,5,17
46,No,Travel_Rarely,Sales,2,Master,Marketing,Medium,Female,High,Executive,Manager,Low,Single,18947,No,12,Excellent,VeryHigh,Level1,22,Medium,2,2,2,1
33,No,Travel_Rarely,'Research & Development',2,Bachelor,Medical,High,Male,High,AssociateProfessional,'Laboratory Technician',VeryHigh,Single,2496,No,11,Excellent,VeryHigh,Level1,7,High,1,1,0,0
44,No,Travel_Rarely,'Research & Development',10,Master,Other,VeryHigh,Male,High,Professional,'Healthcare Representative',VeryHigh,Married,6465,Yes,13,Excellent,VeryHigh,Level1,9,VeryHigh,4,2,1,3
30,No,Travel_Rarely,'Research & Development',9,College,Medical,VeryHigh,Male,Medium,AssociateProfessional,'Laboratory Technician',High,Single,2206,No,13,Excellent,Low,Level1,10,High,10,0,1,8
39,Yes,Travel_Rarely,Sales,5,Bachelor,'Technical Degree',VeryHigh,Male,High,Professional,'Sales Representative',VeryHigh,Married,2086,No,14,Excellent,High,Level2,19,VeryHigh,1,0,0,0
24,Yes,Travel_Rarely,'Research & Development',1,Bachelor,Medical,Medium,Male,High,AssociateProfessional,'Research Scientist',VeryHigh,Married,2293,Yes,16,Excellent,Low,Level2,6,Medium,2,0,2,0
43,No,Travel_Rarely,'Research & Development',2,College,Medical,VeryHigh,Female,VeryHigh,AssociateProfessional,'Research Scientist',High,Divorced,2645,No,12,Excellent,VeryHigh,Level3,6,Medium,5,3,1,4
50,Yes,Travel_Rarely,Sales,3,College,Marketing,Low,Male,Medium,AssociateProfessional,'Sales Representative',High,Married,2683,Yes,14,Excellent,High,Level1,3,High,3,2,0,2
35,No,Travel_Rarely,Sales,2,Bachelor,Marketing,VeryHigh,Female,High,AssociateProfessional,'Sales Representative',VeryHigh,Married,2014,No,13,Excellent,Low,Level1,2,High,2,2,2,2
36,No,Travel_Rarely,'Research & Development',5,Master,'Life Sciences',Medium,Female,Medium,AssociateProfessional,'Research Scientist',Low,Married,3419,Yes,14,Excellent,VeryHigh,Level2,6,VeryHigh,1,1,0,0
33,No,Travel_Frequently,Sales,1,Bachelor,'Life Sciences',High,Female,VeryHigh,Professional,'Sales Executive',Low,Married,5376,No,19,Excellent,Low,Level3,10,High,5,3,1,3
35,No,Travel_Rarely,'Research & Development',4,College,Other,High,Male,High,AssociateProfessional,'Laboratory Technician',VeryHigh,Divorced,1951,No,12,Excellent,High,Level2,1,High,1,0,0,0
27,No,Travel_Rarely,'Research & Development',2,Master,'Life Sciences',VeryHigh,Female,High,AssociateProfessional,'Laboratory Technician',Low,Divorced,2341,No,13,Excellent,VeryHigh,Level2,1,High,1,0,0,0
26,Yes,Travel_Rarely,'Research & Development',25,Bachelor,'Life Sciences',Low,Male,Low,AssociateProfessional,'Laboratory Technician',High,Single,2293,No,12,Excellent,High,Level1,1,Medium,1,0,0,1
27,No,Travel_Frequently,Sales,8,Bachelor,'Life Sciences',VeryHigh,Male,High,AssociateManager,'Sales Executive',High,Single,8726,No,15,Excellent,VeryHigh,Level1,9,High,9,8,1,7
30,No,Travel_Frequently,'Research & Development',1,College,Medical,High,Female,High,Professional,'Laboratory Technician',VeryHigh,Single,4011,No,23,Outstanding,VeryHigh,Level1,12,High,12,8,3,7
41,Yes,Travel_Rarely,'Research & Development',12,Bachelor,'Technical Degree',Medium,Female,High,Executive,'Research Director',High,Married,19545,No,12,Excellent,VeryHigh,Level1,23,High,22,15,15,8
34,No,Non-Travel,Sales,23,Master,Marketing,Medium,Male,High,Professional,'Sales Executive',High,Single,4568,No,20,Outstanding,High,Level1,10,High,9,5,8,7
37,No,Travel_Rarely,'Research & Development',19,College,'Life Sciences',Medium,Male,High,AssociateProfessional,'Research Scientist',Medium,Married,3022,No,21,Outstanding,Low,Level1,8,High,1,0,0,0
46,No,Travel_Frequently,Sales,5,Master,Marketing,Low,Male,High,Professional,'Sales Executive',VeryHigh,Single,5772,Yes,21,Outstanding,High,Level1,14,High,9,6,0,8
35,No,Travel_Rarely,'Research & Development',8,BelowCollege,'Life Sciences',VeryHigh,Male,VeryHigh,AssociateProfessional,'Laboratory Technician',VeryHigh,Married,2269,No,19,Excellent,VeryHigh,Level1,1,High,1,0,0,1
48,Yes,Travel_Rarely,'Research & Development',1,College,'Life Sciences',Low,Male,Medium,AssociateManager,'Laboratory Technician',High,Single,5381,Yes,13,Excellent,VeryHigh,Level1,23,High,1,0,0,0
28,Yes,Travel_Rarely,'Research & Development',5,Master,'Technical Degree',High,Male,High,AssociateProfessional,'Laboratory Technician',High,Single,3441,Yes,13,Excellent,High,Level1,2,Medium,2,2,2,2
44,No,Travel_Rarely,Sales,1,Doctor,Marketing,Medium,Female,High,Professional,'Sales Executive',Low,Divorced,5454,Yes,21,Outstanding,High,Level2,9,Medium,4,3,1,3
35,No,Non-Travel,'Research & Development',11,College,Medical,High,Male,Medium,AssociateManager,'Healthcare Representative',Low,Married,9884,Yes,13,Excellent,High,Level2,10,High,4,0,2,3
26,No,Travel_Rarely,Sales,23,Bachelor,Marketing,High,Female,Medium,Professional,'Sales Executive',VeryHigh,Married,4157,Yes,19,Excellent,High,Level2,5,Medium,2,2,0,0
33,No,Travel_Frequently,'Research & Development',1,College,'Life Sciences',Low,Female,High,AssociateManager,'Research Director',VeryHigh,Single,13458,Yes,12,Excellent,High,Level1,15,High,15,14,8,12
35,No,Travel_Frequently,Sales,18,Doctor,'Life Sciences',Medium,Male,High,AssociateManager,'Sales Executive',Low,Married,9069,No,22,Outstanding,VeryHigh,Level2,9,Medium,9,8,1,8
35,No,Travel_Rarely,'Research & Development',23,Master,Medical,High,Female,High,AssociateProfessional,'Laboratory Technician',Low,Married,4014,Yes,15,Excellent,High,Level2,4,High,2,2,2,2
31,No,Travel_Rarely,'Research & Development',7,Master,'Life Sciences',VeryHigh,Male,High,Professional,'Laboratory Technician',VeryHigh,Divorced,5915,No,22,Outstanding,VeryHigh,Level2,10,Medium,7,7,1,7
37,No,Travel_Rarely,'Research & Development',1,Master,'Life Sciences',Low,Male,Medium,Professional,'Manufacturing Director',High,Divorced,5993,No,18,Excellent,High,Level2,7,VeryHigh,7,5,0,7
32,No,Travel_Rarely,'Research & Development',1,Bachelor,Medical,Low,Male,High,Professional,'Manufacturing Director',VeryHigh,Married,6162,Yes,22,Outstanding,Medium,Level2,9,High,9,8,7,8
38,No,Travel_Frequently,'Research & Development',29,Doctor,'Life Sciences',VeryHigh,Female,High,Professional,'Laboratory Technician',VeryHigh,Single,2406,No,11,Excellent,VeryHigh,Level1,10,High,10,3,9,9
50,No,Travel_Rarely,'Research & Development',7,College,Medical,Medium,Female,Medium,Executive,'Research Director',High,Divorced,18740,Yes,12,Excellent,VeryHigh,Level2,29,Medium,27,3,13,8
59,No,Travel_Rarely,Sales,25,Bachelor,'Life Sciences',Low,Female,High,AssociateManager,'Sales Executive',Low,Single,7637,No,11,Excellent,VeryHigh,Level1,28,Medium,21,16,7,9
36,No,Travel_Rarely,'Research & Development',8,Bachelor,'Technical Degree',High,Female,High,AssociateManager,'Healthcare Representative',High,Divorced,10096,No,13,Excellent,Medium,Level4,17,High,17,14,12,8
55,No,Travel_Rarely,'Research & Development',8,Bachelor,Medical,VeryHigh,Female,High,Manager,Manager,High,Divorced,14756,Yes,14,Excellent,High,Level4,21,High,5,0,0,2
36,No,Travel_Frequently,'Research & Development',11,Bachelor,'Life Sciences',Medium,Male,Medium,Professional,'Manufacturing Director',Medium,Single,6499,No,13,Excellent,High,Level1,6,High,6,5,0,3
45,No,Travel_Rarely,'Research & Development',7,Bachelor,'Life Sciences',Medium,Male,High,AssociateManager,'Research Scientist',Low,Divorced,9724,No,17,Excellent,High,Level2,25,High,1,0,0,0
35,No,Travel_Frequently,'Research & Development',1,Bachelor,Medical,Medium,Male,High,AssociateProfessional,'Research Scientist',Low,Married,2194,No,13,Excellent,VeryHigh,Level2,5,Medium,3,2,1,2
36,Yes,Travel_Rarely,'Research & Development',9,Bachelor,Medical,VeryHigh,Male,Medium,AssociateProfessional,'Research Scientist',High,Married,3388,Yes,17,Excellent,Low,Level2,2,Medium,1,0,0,0
59,No,Travel_Frequently,Sales,1,BelowCollege,'Life Sciences',Low,Female,Medium,Professional,'Sales Executive',High,Single,5473,No,11,Excellent,VeryHigh,Level1,20,Medium,4,3,1,3
29,No,Travel_Rarely,'Research & Development',2,Bachelor,'Life Sciences',High,Male,High,AssociateProfessional,'Research Scientist',Medium,Married,2703,No,23,Outstanding,VeryHigh,Level2,6,High,5,4,0,4
31,No,Travel_Rarely,'Research & Development',1,Master,Medical,High,Male,High,AssociateProfessional,'Research Scientist',Medium,Single,2501,No,17,Excellent,Medium,Level1,1,High,1,1,1,0
32,No,Travel_Rarely,'Research & Development',1,Bachelor,'Life Sciences',Medium,Male,High,Professional,'Research Scientist',Medium,Married,6220,No,17,Excellent,Medium,Level3,10,High,10,4,0,9
36,No,Travel_Rarely,'Research & Development',6,Bachelor,'Life Sciences',Medium,Female,VeryHigh,AssociateProfessional,'Laboratory Technician',VeryHigh,Married,3038,No,12,Excellent,Medium,Level1,5,High,1,0,0,0
31,No,Travel_Rarely,'Research & Development',8,Master,'Life Sciences',High,Female,High,Professional,'Manufacturing Director',VeryHigh,Single,4424,No,23,Outstanding,VeryHigh,Level1,11,High,11,7,1,8
35,No,Travel_Rarely,Sales,1,Master,Marketing,High,Male,Medium,Professional,'Sales Executive',Low,Single,4312,No,14,Excellent,Medium,Level1,16,High,15,13,2,8
45,No,Travel_Rarely,'Research & Development',6,Master,Other,VeryHigh,Male,High,AssociateManager,'Research Director',Low,Married,13245,Yes,14,Excellent,Medium,Level1,17,VeryHigh,0,0,0,0
37,No,Travel_Rarely,'Research & Development',7,Master,Medical,Low,Male,High,AssociateManager,'Research Director',High,Single,13664,No,13,Excellent,Low,Level1,16,VeryHigh,5,2,0,2
46,No,Travel_Rarely,'Human Resources',5,College,Medical,Medium,Male,High,Professional,'Human Resources',Medium,Divorced,5021,Yes,22,Outstanding,VeryHigh,Level2,16,High,4,2,0,2
30,No,Travel_Rarely,'Research & Development',1,BelowCollege,'Life Sciences',VeryHigh,Male,Medium,Professional,'Laboratory Technician',VeryHigh,Married,5126,Yes,12,Excellent,High,Level3,10,Medium,10,8,3,0
35,No,Travel_Rarely,'Research & Development',1,Bachelor,Medical,Medium,Male,Medium,AssociateProfessional,'Research Scientist',High,Single,2859,No,18,Excellent,Low,Level1,6,High,6,4,0,4
55,No,Travel_Rarely,Sales,1,College,'Life Sciences',Low,Male,High,AssociateManager,'Sales Executive',VeryHigh,Married,10239,No,14,Excellent,VeryHigh,Level2,24,High,1,0,1,0
38,No,Non-Travel,'Research & Development',6,Bachelor,Medical,Medium,Female,Low,Professional,'Research Scientist',VeryHigh,Divorced,5329,Yes,12,Excellent,VeryHigh,Level4,17,High,13,11,1,9
34,No,Travel_Rarely,'Research & Development',1,College,Medical,Low,Male,High,Professional,'Manufacturing Director',Medium,Married,4325,No,15,Excellent,High,Level1,5,High,5,2,1,3
56,No,Travel_Rarely,'Research & Development',7,Bachelor,'Life Sciences',VeryHigh,Male,Low,AssociateManager,'Manufacturing Director',VeryHigh,Single,7260,No,11,Excellent,Low,Level1,37,Medium,6,4,0,2
23,No,Travel_Rarely,Sales,2,BelowCollege,'Technical Degree',High,Male,High,AssociateProfessional,'Sales Representative',Low,Divorced,2322,No,13,Excellent,High,Level2,3,High,0,0,0,0
51,No,Travel_Rarely,'Research & Development',9,Master,'Life Sciences',VeryHigh,Male,High,AssociateProfessional,'Laboratory Technician',VeryHigh,Married,2075,No,23,Outstanding,Medium,Level3,10,High,4,2,0,3
30,No,Travel_Rarely,'Research & Development',2,Bachelor,'Life Sciences',High,Male,Medium,Professional,'Healthcare Representative',VeryHigh,Married,4152,No,19,Excellent,Low,Level4,11,High,11,10,10,8
46,Yes,Travel_Rarely,Sales,9,College,Medical,High,Male,Medium,AssociateManager,'Sales Executive',VeryHigh,Single,9619,No,16,Excellent,VeryHigh,Level1,9,High,9,8,4,7
40,No,Travel_Frequently,'Research & Development',1,Master,'Life Sciences',High,Male,Medium,Manager,'Healthcare Representative',Medium,Married,13503,No,22,Outstanding,VeryHigh,Level2,22,Medium,22,3,11,11
51,No,Travel_Rarely,Sales,21,Master,Marketing,High,Male,High,Professional,'Sales Executive',VeryHigh,Single,5441,Yes,22,Outstanding,VeryHigh,Level1,11,Low,10,7,1,0
30,No,Travel_Rarely,Sales,4,College,Medical,High,Female,Medium,Professional,'Sales Executive',Medium,Divorced,5209,Yes,12,Excellent,Medium,Level4,11,Medium,11,8,2,7
46,No,Travel_Frequently,'Research & Development',1,Bachelor,Medical,High,Male,Medium,AssociateManager,'Healthcare Representative',Low,Married,10673,Yes,13,Excellent,High,Level2,21,Medium,10,9,9,5
32,No,Travel_Rarely,Sales,6,Master,Medical,Medium,Male,High,Professional,'Sales Executive',High,Single,5010,No,16,Excellent,Low,Level1,12,High,11,8,5,7
54,No,Travel_Rarely,'Research & Development',2,Master,'Technical Degree',Low,Female,High,AssociateManager,'Research Director',High,Married,13549,No,12,Excellent,Low,Level2,16,Low,4,3,0,3
24,No,Travel_Rarely,Sales,3,College,Other,Low,Female,High,Professional,'Sales Executive',High,Married,4999,No,21,Outstanding,Low,Level2,4,Medium,3,2,0,2
28,No,Non-Travel,Sales,4,Bachelor,Medical,Medium,Male,High,Professional,'Sales Executive',High,Married,4221,No,15,Excellent,Medium,Level1,5,VeryHigh,5,4,0,4
58,No,Travel_Rarely,Sales,10,Master,Medical,VeryHigh,Male,High,Manager,'Sales Executive',High,Single,13872,No,13,Excellent,High,Level1,38,Medium,37,10,1,8
44,No,Non-Travel,'Research & Development',23,Bachelor,Medical,Medium,Male,High,Professional,'Laboratory Technician',Medium,Married,2042,No,12,Excellent,High,Level2,17,VeryHigh,3,2,1,2
37,Yes,Travel_Rarely,'Human Resources',6,Master,'Human Resources',High,Male,High,AssociateProfessional,'Human Resources',Low,Divorced,2073,Yes,22,Outstanding,VeryHigh,Level1,7,High,3,2,0,2
32,No,Travel_Rarely,'Research & Development',1,BelowCollege,'Life Sciences',VeryHigh,Male,High,AssociateProfessional,'Research Scientist',Low,Single,2956,No,13,Excellent,VeryHigh,Level1,1,High,1,0,0,0
20,Yes,Travel_Frequently,'Research & Development',6,Bachelor,'Life Sciences',VeryHigh,Female,Medium,AssociateProfessional,'Laboratory Technician',VeryHigh,Single,2926,Yes,18,Excellent,Medium,Level1,1,High,1,0,1,0
34,No,Travel_Rarely,'Research & Development',6,Master,Other,Low,Female,High,Professional,'Research Scientist',High,Single,4809,No,14,Excellent,High,Level1,16,High,16,13,2,10
37,No,Non-Travel,'Research & Development',2,College,'Life Sciences',High,Male,Medium,Professional,'Healthcare Representative',VeryHigh,Divorced,5163,No,14,Excellent,VeryHigh,Level2,17,VeryHigh,1,0,0,0
59,No,Non-Travel,'Human Resources',2,Master,'Human Resources',High,Female,Medium,Executive,Manager,VeryHigh,Married,18844,No,21,Outstanding,VeryHigh,Level2,30,High,3,2,2,2
50,No,Travel_Frequently,'Research & Development',1,Bachelor,'Life Sciences',Low,Female,High,Executive,'Research Director',Medium,Married,18172,Yes,19,Excellent,Low,Level1,28,Medium,8,3,0,7
25,Yes,Travel_Rarely,Sales,5,Bachelor,Marketing,High,Male,Medium,Professional,'Sales Executive',High,Single,5744,Yes,11,Excellent,VeryHigh,Level1,6,High,6,4,0,3
25,No,Travel_Rarely,'Research & Development',7,BelowCollege,Medical,VeryHigh,Male,Medium,AssociateProfessional,'Research Scientist',VeryHigh,Married,2889,No,11,Excellent,High,Level3,2,High,2,2,2,1
22,No,Travel_Rarely,'Research & Development',15,Bachelor,Medical,Medium,Female,High,AssociateProfessional,'Laboratory Technician',VeryHigh,Single,2871,No,15,Excellent,High,Level1,1,High,0,0,0,0
51,No,Travel_Frequently,'Research & Development',1,Master,Medical,Low,Female,Medium,AssociateManager,'Healthcare Representative',Low,Single,7484,No,20,Outstanding,High,Level1,23,Medium,13,12,12,8
34,Yes,Travel_Frequently,'Research & Development',7,Bachelor,'Life Sciences',Low,Male,Low,Professional,'Laboratory Technician',High,Single,6074,Yes,24,Outstanding,VeryHigh,Level1,9,High,9,7,0,6
54,No,Non-Travel,'Human Resources',26,Bachelor,'Human Resources',VeryHigh,Female,VeryHigh,Manager,Manager,VeryHigh,Single,17328,Yes,12,Excellent,High,Level1,23,High,5,3,4,4
24,No,Travel_Rarely,'Research & Development',18,BelowCollege,'Life Sciences',Medium,Male,High,AssociateProfessional,'Laboratory Technician',High,Married,2774,No,12,Excellent,High,Level2,6,High,5,3,1,2
34,No,Travel_Rarely,'Research & Development',6,Master,'Life Sciences',High,Female,Medium,Professional,'Research Scientist',Medium,Divorced,4505,No,15,Excellent,High,Level2,12,High,1,0,0,0
37,No,Travel_Rarely,Sales,3,Bachelor,'Life Sciences',High,Male,High,AssociateManager,'Sales Executive',VeryHigh,Single,7428,No,12,Excellent,Low,Level1,12,High,5,3,1,3
34,No,Travel_Rarely,'Research & Development',5,Bachelor,Medical,High,Female,Medium,AssociateManager,Manager,Low,Single,11631,No,12,Excellent,VeryHigh,Level1,14,High,11,10,5,8
36,No,Travel_Frequently,Sales,11,College,'Technical Degree',Medium,Female,High,AssociateManager,'Sales Executive',VeryHigh,Married,9738,No,14,Excellent,High,Level2,10,High,9,7,2,8
36,No,Travel_Rarely,'Research & Development',3,College,'Life Sciences',Low,Female,High,AssociateProfessional,'Laboratory Technician',VeryHigh,Divorced,2835,No,22,Outstanding,Low,Level2,7,High,1,0,0,0
43,No,Travel_Frequently,Sales,26,College,'Life Sciences',High,Male,High,Manager,Manager,VeryHigh,Married,16959,Yes,12,Excellent,VeryHigh,Level3,25,VeryHigh,25,12,4,12
30,No,Travel_Frequently,'Research & Development',23,Bachelor,'Life Sciences',Low,Male,Low,AssociateProfessional,'Research Scientist',High,Divorced,2613,No,25,Outstanding,High,Level4,10,Medium,10,7,0,9
33,No,Non-Travel,Sales,22,College,Marketing,High,Male,High,Professional,'Sales Executive',Medium,Married,6146,No,13,Excellent,Low,Level2,8,VeryHigh,7,7,0,7
56,Yes,Travel_Rarely,'Research & Development',14,Master,'Life Sciences',Medium,Female,High,AssociateProfessional,'Research Scientist',Medium,Married,4963,Yes,18,Excellent,Low,Level4,7,High,5,4,4,3
51,No,Travel_Rarely,'Research & Development',6,Bachelor,'Life Sciences',Low,Male,High,Executive,'Research Director',High,Single,19537,No,13,Excellent,High,Level1,23,High,20,18,15,15
31,Yes,Travel_Rarely,Sales,6,Master,'Life Sciences',Medium,Male,Low,Professional,'Sales Executive',High,Married,6172,Yes,18,Excellent,Medium,Level1,12,Medium,7,7,7,7
26,No,Travel_Rarely,'Research & Development',6,Bachelor,Other,High,Female,Medium,AssociateProfessional,'Research Scientist',Medium,Married,2368,No,19,Excellent,High,Level1,5,Medium,5,4,4,3
58,Yes,Travel_Rarely,'Research & Development',23,Master,Medical,VeryHigh,Female,High,AssociateManager,'Healthcare Representative',VeryHigh,Married,10312,No,12,Excellent,VeryHigh,Level2,40,Medium,40,10,15,6
19,Yes,Travel_Rarely,Sales,22,BelowCollege,Marketing,VeryHigh,Male,High,AssociateProfessional,'Sales Representative',High,Single,1675,Yes,19,Excellent,VeryHigh,Level1,0,Medium,0,0,0,0
22,No,Travel_Rarely,'Research & Development',2,BelowCollege,'Technical Degree',High,Male,High,AssociateProfessional,'Laboratory Technician',VeryHigh,Married,2523,No,14,Excellent,High,Level2,3,High,2,1,2,1
49,No,Travel_Rarely,'Research & Development',20,Master,Medical,High,Female,High,Professional,'Manufacturing Director',Low,Married,6567,No,14,Excellent,High,Level1,16,Medium,15,11,5,11
43,No,Travel_Frequently,'Research & Development',28,Bachelor,Medical,Medium,Female,VeryHigh,AssociateProfessional,'Research Scientist',High,Single,4739,No,12,Excellent,VeryHigh,Level1,18,High,3,2,1,2
50,No,Travel_Frequently,Sales,12,Bachelor,Marketing,High,Female,High,AssociateManager,'Sales Executive',VeryHigh,Single,9208,No,11,Excellent,VeryHigh,Level1,16,High,2,2,2,1
31,Yes,Travel_Rarely,Sales,20,Bachelor,'Life Sciences',Medium,Female,Low,Professional,'Sales Executive',High,Married,4559,Yes,11,Excellent,High,Level2,4,High,2,2,2,2
41,No,Travel_Rarely,Sales,9,BelowCollege,'Life Sciences',High,Male,High,AssociateManager,'Sales Executive',High,Divorced,8189,Yes,13,Excellent,High,Level2,12,High,9,7,0,7
26,No,Travel_Rarely,'Human Resources',25,BelowCollege,'Life Sciences',High,Female,High,AssociateProfessional,'Human Resources',High,Married,2942,No,23,Outstanding,VeryHigh,Level2,8,High,8,7,5,7
36,No,Travel_Rarely,'Research & Development',6,College,Medical,Medium,Male,High,Professional,'Manufacturing Director',Medium,Divorced,4941,No,20,Outstanding,VeryHigh,Level3,7,High,3,2,0,1
51,Yes,Travel_Frequently,'Research & Development',8,Master,'Life Sciences',Low,Male,Low,AssociateManager,'Manufacturing Director',VeryHigh,Single,10650,No,15,Excellent,VeryHigh,Level1,18,High,4,2,0,3
39,No,Travel_Rarely,Sales,4,Master,'Life Sciences',VeryHigh,Female,Medium,Professional,'Sales Executive',High,Married,5902,No,14,Excellent,High,Level2,17,VeryHigh,15,11,5,9
